"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63577404","0. __tot__",1860,918,942
"63577404","1. 00 A 04",147,73,74
"63577404","2. 05 A 09",202,95,107
"63577404","3. 10 A 14",211,101,110
"63577404","4. 15 A 19",182,84,98
"63577404","5. 20 A 24",168,87,81
"63577404","6. 25 A 29",125,66,59
"63577404","7. 30 A 34",137,66,71
"63577404","8. 35 A 39",134,75,59
"63577404","9. 40 A 44",163,81,82
"63577404","10. 45 A 49",120,59,61
"63577404","11. 50 A 54",74,35,39
"63577404","12. 55 A 59",62,25,37
"63577404","13. 60 A 64",43,22,21
"63577404","14. 65 A 69",38,19,19
"63577404","15. 70 A 74",30,18,12
"63577404","16. 75 A 79",11,5,6
"63577404","17. 80 A 84",7,4,3
"63577404","18. 85 A 89",4,2,2
"63577404","19. 90 A 94",1,NA,1
"63577404","20. 95 A 99",1,1,NA
