"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63579806","0. __tot__",430,227,203
"63579806","1. 00 A 04",30,16,14
"63579806","2. 05 A 09",44,22,22
"63579806","3. 10 A 14",35,20,15
"63579806","4. 15 A 19",34,19,15
"63579806","5. 20 A 24",27,16,11
"63579806","6. 25 A 29",21,11,10
"63579806","7. 30 A 34",39,20,19
"63579806","8. 35 A 39",35,15,20
"63579806","9. 40 A 44",35,20,15
"63579806","10. 45 A 49",24,10,14
"63579806","11. 50 A 54",34,18,16
"63579806","12. 55 A 59",16,8,8
"63579806","13. 60 A 64",15,9,6
"63579806","14. 65 A 69",17,6,11
"63579806","15. 70 A 74",12,7,5
"63579806","16. 75 A 79",6,5,1
"63579806","17. 80 A 84",2,1,1
"63579806","18. 85 A 89",2,2,NA
"63579806","19. 90 A 94",1,1,NA
"63579806","20. 95 A 99",1,1,NA
