"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63577708","0. __tot__",299,151,148
"63577708","1. 00 A 04",27,19,8
"63577708","2. 05 A 09",40,16,24
"63577708","3. 10 A 14",28,13,15
"63577708","4. 15 A 19",13,6,7
"63577708","5. 20 A 24",9,3,6
"63577708","6. 25 A 29",9,5,4
"63577708","7. 30 A 34",27,16,11
"63577708","8. 35 A 39",36,22,14
"63577708","9. 40 A 44",35,12,23
"63577708","10. 45 A 49",23,11,12
"63577708","11. 50 A 54",8,4,4
"63577708","12. 55 A 59",11,7,4
"63577708","13. 60 A 64",9,5,4
"63577708","14. 65 A 69",6,4,2
"63577708","15. 70 A 74",10,3,7
"63577708","16. 75 A 79",4,3,1
"63577708","17. 80 A 84",4,2,2
