"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63579004","0. __tot__",452,230,222
"63579004","1. 00 A 04",38,23,15
"63579004","2. 05 A 09",41,12,29
"63579004","3. 10 A 14",30,18,12
"63579004","4. 15 A 19",25,12,13
"63579004","5. 20 A 24",29,18,11
"63579004","6. 25 A 29",26,12,14
"63579004","7. 30 A 34",39,18,21
"63579004","8. 35 A 39",50,24,26
"63579004","9. 40 A 44",38,19,19
"63579004","10. 45 A 49",22,12,10
"63579004","11. 50 A 54",21,13,8
"63579004","12. 55 A 59",22,8,14
"63579004","13. 60 A 64",13,6,7
"63579004","14. 65 A 69",16,12,4
"63579004","15. 70 A 74",18,9,9
"63579004","16. 75 A 79",11,7,4
"63579004","17. 80 A 84",6,4,2
"63579004","18. 85 A 89",4,2,2
"63579004","20. 95 A 99",3,1,2
