"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63577502","0. __tot__",235,120,115
"63577502","1. 00 A 04",12,7,5
"63577502","2. 05 A 09",13,7,6
"63577502","3. 10 A 14",12,7,5
"63577502","4. 15 A 19",19,7,12
"63577502","5. 20 A 24",11,6,5
"63577502","6. 25 A 29",11,4,7
"63577502","7. 30 A 34",14,8,6
"63577502","8. 35 A 39",20,11,9
"63577502","9. 40 A 44",16,8,8
"63577502","10. 45 A 49",20,10,10
"63577502","11. 50 A 54",11,4,7
"63577502","12. 55 A 59",4,3,1
"63577502","13. 60 A 64",15,8,7
"63577502","14. 65 A 69",19,10,9
"63577502","15. 70 A 74",4,2,2
"63577502","16. 75 A 79",14,5,9
"63577502","17. 80 A 84",8,7,1
"63577502","18. 85 A 89",7,4,3
"63577502","19. 90 A 94",3,2,1
"63577502","20. 95 A 99",2,NA,2
