"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63577602","0. __tot__",607,303,304
"63577602","1. 00 A 04",54,26,28
"63577602","2. 05 A 09",61,36,25
"63577602","3. 10 A 14",57,25,32
"63577602","4. 15 A 19",53,31,22
"63577602","5. 20 A 24",56,29,27
"63577602","6. 25 A 29",45,24,21
"63577602","7. 30 A 34",49,22,27
"63577602","8. 35 A 39",56,32,24
"63577602","9. 40 A 44",47,20,27
"63577602","10. 45 A 49",30,12,18
"63577602","11. 50 A 54",21,10,11
"63577602","12. 55 A 59",20,10,10
"63577602","13. 60 A 64",14,4,10
"63577602","14. 65 A 69",18,10,8
"63577602","15. 70 A 74",13,7,6
"63577602","16. 75 A 79",4,2,2
"63577602","17. 80 A 84",6,2,4
"63577602","18. 85 A 89",3,1,2
