"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63578413","0. __tot__",78,42,36
"63578413","1. 00 A 04",9,4,5
"63578413","2. 05 A 09",10,4,6
"63578413","3. 10 A 14",7,3,4
"63578413","4. 15 A 19",5,5,NA
"63578413","5. 20 A 24",1,NA,1
"63578413","6. 25 A 29",1,1,NA
"63578413","7. 30 A 34",5,3,2
"63578413","8. 35 A 39",8,6,2
"63578413","9. 40 A 44",14,7,7
"63578413","10. 45 A 49",5,2,3
"63578413","11. 50 A 54",7,3,4
"63578413","12. 55 A 59",1,1,NA
"63578413","13. 60 A 64",3,2,1
"63578413","15. 70 A 74",2,1,1
