"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63579802","0. __tot__",531,256,275
"63579802","1. 00 A 04",25,10,15
"63579802","2. 05 A 09",45,16,29
"63579802","3. 10 A 14",48,23,25
"63579802","4. 15 A 19",38,13,25
"63579802","5. 20 A 24",25,9,16
"63579802","6. 25 A 29",28,16,12
"63579802","7. 30 A 34",31,18,13
"63579802","8. 35 A 39",43,22,21
"63579802","9. 40 A 44",49,27,22
"63579802","10. 45 A 49",48,25,23
"63579802","11. 50 A 54",38,17,21
"63579802","12. 55 A 59",26,16,10
"63579802","13. 60 A 64",28,13,15
"63579802","14. 65 A 69",20,10,10
"63579802","15. 70 A 74",16,8,8
"63579802","16. 75 A 79",13,8,5
"63579802","17. 80 A 84",6,4,2
"63579802","18. 85 A 89",3,1,2
"63579802","19. 90 A 94",1,NA,1
