"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63578405","0. __tot__",199,96,103
"63578405","1. 00 A 04",10,8,2
"63578405","2. 05 A 09",18,7,11
"63578405","3. 10 A 14",17,6,11
"63578405","4. 15 A 19",11,4,7
"63578405","5. 20 A 24",8,4,4
"63578405","6. 25 A 29",19,10,9
"63578405","7. 30 A 34",14,4,10
"63578405","8. 35 A 39",19,14,5
"63578405","9. 40 A 44",13,4,9
"63578405","10. 45 A 49",13,6,7
"63578405","11. 50 A 54",12,6,6
"63578405","12. 55 A 59",12,6,6
"63578405","13. 60 A 64",13,8,5
"63578405","14. 65 A 69",4,2,2
"63578405","15. 70 A 74",8,3,5
"63578405","16. 75 A 79",4,2,2
"63578405","17. 80 A 84",1,NA,1
"63578405","18. 85 A 89",2,1,1
"63578405","19. 90 A 94",1,1,NA
