"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63579807","0. __tot__",398,206,192
"63579807","1. 00 A 04",23,12,11
"63579807","2. 05 A 09",43,23,20
"63579807","3. 10 A 14",35,19,16
"63579807","4. 15 A 19",34,19,15
"63579807","5. 20 A 24",27,13,14
"63579807","6. 25 A 29",20,10,10
"63579807","7. 30 A 34",19,10,9
"63579807","8. 35 A 39",42,19,23
"63579807","9. 40 A 44",42,27,15
"63579807","10. 45 A 49",32,15,17
"63579807","11. 50 A 54",22,11,11
"63579807","12. 55 A 59",12,5,7
"63579807","13. 60 A 64",19,8,11
"63579807","14. 65 A 69",13,6,7
"63579807","15. 70 A 74",6,4,2
"63579807","16. 75 A 79",6,3,3
"63579807","17. 80 A 84",2,1,1
"63579807","20. 95 A 99",1,1,NA
