"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63577608","0. __tot__",349,197,152
"63577608","1. 00 A 04",17,7,10
"63577608","2. 05 A 09",26,18,8
"63577608","3. 10 A 14",20,12,8
"63577608","4. 15 A 19",20,12,8
"63577608","5. 20 A 24",22,14,8
"63577608","6. 25 A 29",20,13,7
"63577608","7. 30 A 34",19,10,9
"63577608","8. 35 A 39",24,15,9
"63577608","9. 40 A 44",30,13,17
"63577608","10. 45 A 49",27,13,14
"63577608","11. 50 A 54",28,14,14
"63577608","12. 55 A 59",16,10,6
"63577608","13. 60 A 64",23,14,9
"63577608","14. 65 A 69",13,7,6
"63577608","15. 70 A 74",22,12,10
"63577608","16. 75 A 79",10,6,4
"63577608","17. 80 A 84",9,5,4
"63577608","18. 85 A 89",3,2,1
