"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63577402","0. __tot__",720,396,324
"63577402","1. 00 A 04",45,18,27
"63577402","2. 05 A 09",43,18,25
"63577402","3. 10 A 14",49,31,18
"63577402","4. 15 A 19",60,32,28
"63577402","5. 20 A 24",51,25,26
"63577402","6. 25 A 29",34,18,16
"63577402","7. 30 A 34",49,26,23
"63577402","8. 35 A 39",60,38,22
"63577402","9. 40 A 44",57,28,29
"63577402","10. 45 A 49",51,26,25
"63577402","11. 50 A 54",28,17,11
"63577402","12. 55 A 59",50,24,26
"63577402","13. 60 A 64",23,12,11
"63577402","14. 65 A 69",34,21,13
"63577402","15. 70 A 74",38,27,11
"63577402","16. 75 A 79",28,19,9
"63577402","17. 80 A 84",13,9,4
"63577402","18. 85 A 89",4,4,NA
"63577402","19. 90 A 94",3,3,NA
