"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63577703","0. __tot__",744,373,371
"63577703","1. 00 A 04",59,20,39
"63577703","2. 05 A 09",66,32,34
"63577703","3. 10 A 14",70,38,32
"63577703","4. 15 A 19",58,30,28
"63577703","5. 20 A 24",67,35,32
"63577703","6. 25 A 29",62,27,35
"63577703","7. 30 A 34",59,29,30
"63577703","8. 35 A 39",44,22,22
"63577703","9. 40 A 44",53,29,24
"63577703","10. 45 A 49",46,22,24
"63577703","11. 50 A 54",28,16,12
"63577703","12. 55 A 59",27,14,13
"63577703","13. 60 A 64",24,13,11
"63577703","14. 65 A 69",16,8,8
"63577703","15. 70 A 74",28,15,13
"63577703","16. 75 A 79",18,10,8
"63577703","17. 80 A 84",9,7,2
"63577703","18. 85 A 89",4,4,NA
"63577703","19. 90 A 94",4,2,2
"63577703","20. 95 A 99",2,NA,2
