"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63578407","0. __tot__",157,81,76
"63578407","1. 00 A 04",3,1,2
"63578407","2. 05 A 09",15,6,9
"63578407","3. 10 A 14",13,6,7
"63578407","4. 15 A 19",14,8,6
"63578407","5. 20 A 24",10,6,4
"63578407","6. 25 A 29",8,5,3
"63578407","7. 30 A 34",11,6,5
"63578407","8. 35 A 39",11,7,4
"63578407","9. 40 A 44",13,9,4
"63578407","10. 45 A 49",14,7,7
"63578407","11. 50 A 54",11,3,8
"63578407","12. 55 A 59",11,5,6
"63578407","13. 60 A 64",10,6,4
"63578407","14. 65 A 69",6,2,4
"63578407","15. 70 A 74",1,NA,1
"63578407","16. 75 A 79",3,3,NA
"63578407","17. 80 A 84",3,1,2
