"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63577409","0. __tot__",1373,696,677
"63577409","1. 00 A 04",101,45,56
"63577409","2. 05 A 09",113,57,56
"63577409","3. 10 A 14",118,61,57
"63577409","4. 15 A 19",149,80,69
"63577409","5. 20 A 24",105,55,50
"63577409","6. 25 A 29",88,36,52
"63577409","7. 30 A 34",101,51,50
"63577409","8. 35 A 39",111,63,48
"63577409","9. 40 A 44",122,60,62
"63577409","10. 45 A 49",101,51,50
"63577409","11. 50 A 54",76,33,43
"63577409","12. 55 A 59",61,35,26
"63577409","13. 60 A 64",52,29,23
"63577409","14. 65 A 69",24,11,13
"63577409","15. 70 A 74",20,11,9
"63577409","16. 75 A 79",20,12,8
"63577409","17. 80 A 84",10,5,5
"63577409","18. 85 A 89",1,1,NA
