"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63577401","0. __tot__",1332,641,691
"63577401","1. 00 A 04",89,40,49
"63577401","2. 05 A 09",108,48,60
"63577401","3. 10 A 14",127,61,66
"63577401","4. 15 A 19",135,65,70
"63577401","5. 20 A 24",112,45,67
"63577401","6. 25 A 29",107,47,60
"63577401","7. 30 A 34",100,57,43
"63577401","8. 35 A 39",110,54,56
"63577401","9. 40 A 44",89,40,49
"63577401","10. 45 A 49",71,40,31
"63577401","11. 50 A 54",72,35,37
"63577401","12. 55 A 59",71,37,34
"63577401","13. 60 A 64",44,20,24
"63577401","14. 65 A 69",42,23,19
"63577401","15. 70 A 74",24,12,12
"63577401","16. 75 A 79",17,8,9
"63577401","17. 80 A 84",6,5,1
"63577401","18. 85 A 89",4,2,2
"63577401","19. 90 A 94",2,1,1
"63577401","20. 95 A 99",2,1,1
