"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63578403","0. __tot__",229,110,119
"63578403","1. 00 A 04",14,8,6
"63578403","2. 05 A 09",15,6,9
"63578403","3. 10 A 14",17,10,7
"63578403","4. 15 A 19",11,8,3
"63578403","5. 20 A 24",10,6,4
"63578403","6. 25 A 29",10,4,6
"63578403","7. 30 A 34",16,10,6
"63578403","8. 35 A 39",12,6,6
"63578403","9. 40 A 44",28,11,17
"63578403","10. 45 A 49",23,5,18
"63578403","11. 50 A 54",6,2,4
"63578403","12. 55 A 59",11,7,4
"63578403","13. 60 A 64",14,7,7
"63578403","14. 65 A 69",22,8,14
"63578403","15. 70 A 74",5,3,2
"63578403","16. 75 A 79",8,3,5
"63578403","17. 80 A 84",2,1,1
"63578403","18. 85 A 89",3,3,NA
"63578403","19. 90 A 94",1,1,NA
"63578403","20. 95 A 99",1,1,NA
