"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63577309","0. __tot__",292,138,154
"63577309","1. 00 A 04",26,11,15
"63577309","2. 05 A 09",45,20,25
"63577309","3. 10 A 14",32,16,16
"63577309","4. 15 A 19",22,11,11
"63577309","5. 20 A 24",20,9,11
"63577309","6. 25 A 29",26,18,8
"63577309","7. 30 A 34",27,10,17
"63577309","8. 35 A 39",12,3,9
"63577309","9. 40 A 44",21,10,11
"63577309","10. 45 A 49",11,7,4
"63577309","11. 50 A 54",14,11,3
"63577309","12. 55 A 59",13,3,10
"63577309","13. 60 A 64",12,5,7
"63577309","14. 65 A 69",7,3,4
"63577309","15. 70 A 74",2,NA,2
"63577309","16. 75 A 79",1,NA,1
"63577309","18. 85 A 89",1,1,NA
