"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63577509","0. __tot__",634,338,296
"63577509","1. 00 A 04",28,17,11
"63577509","2. 05 A 09",35,16,19
"63577509","3. 10 A 14",47,18,29
"63577509","4. 15 A 19",49,27,22
"63577509","5. 20 A 24",43,25,18
"63577509","6. 25 A 29",41,23,18
"63577509","7. 30 A 34",43,19,24
"63577509","8. 35 A 39",53,34,19
"63577509","9. 40 A 44",52,20,32
"63577509","10. 45 A 49",61,37,24
"63577509","11. 50 A 54",41,19,22
"63577509","12. 55 A 59",29,16,13
"63577509","13. 60 A 64",40,24,16
"63577509","14. 65 A 69",21,10,11
"63577509","15. 70 A 74",18,10,8
"63577509","16. 75 A 79",18,12,6
"63577509","17. 80 A 84",6,3,3
"63577509","18. 85 A 89",3,2,1
"63577509","19. 90 A 94",5,5,NA
"63577509","22. 105 Y MÁS",1,1,NA
