"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63577406","0. __tot__",848,410,438
"63577406","1. 00 A 04",65,27,38
"63577406","2. 05 A 09",89,43,46
"63577406","3. 10 A 14",98,48,50
"63577406","4. 15 A 19",87,39,48
"63577406","5. 20 A 24",72,36,36
"63577406","6. 25 A 29",74,39,35
"63577406","7. 30 A 34",69,30,39
"63577406","8. 35 A 39",52,30,22
"63577406","9. 40 A 44",65,35,30
"63577406","10. 45 A 49",45,23,22
"63577406","11. 50 A 54",41,16,25
"63577406","12. 55 A 59",31,16,15
"63577406","13. 60 A 64",20,8,12
"63577406","14. 65 A 69",17,6,11
"63577406","15. 70 A 74",11,5,6
"63577406","16. 75 A 79",7,6,1
"63577406","17. 80 A 84",3,2,1
"63577406","18. 85 A 89",2,1,1
