"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63578406","0. __tot__",202,100,102
"63578406","1. 00 A 04",14,6,8
"63578406","2. 05 A 09",14,9,5
"63578406","3. 10 A 14",11,5,6
"63578406","4. 15 A 19",11,6,5
"63578406","5. 20 A 24",10,3,7
"63578406","6. 25 A 29",12,6,6
"63578406","7. 30 A 34",12,4,8
"63578406","8. 35 A 39",13,11,2
"63578406","9. 40 A 44",18,9,9
"63578406","10. 45 A 49",26,9,17
"63578406","11. 50 A 54",12,6,6
"63578406","12. 55 A 59",9,3,6
"63578406","13. 60 A 64",15,9,6
"63578406","14. 65 A 69",5,3,2
"63578406","15. 70 A 74",8,5,3
"63578406","16. 75 A 79",6,3,3
"63578406","17. 80 A 84",2,1,1
"63578406","18. 85 A 89",3,1,2
"63578406","19. 90 A 94",1,1,NA
