"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63578409","0. __tot__",101,45,56
"63578409","1. 00 A 04",7,2,5
"63578409","2. 05 A 09",4,2,2
"63578409","3. 10 A 14",8,2,6
"63578409","4. 15 A 19",9,3,6
"63578409","5. 20 A 24",3,1,2
"63578409","6. 25 A 29",5,1,4
"63578409","7. 30 A 34",7,4,3
"63578409","8. 35 A 39",15,8,7
"63578409","9. 40 A 44",5,2,3
"63578409","10. 45 A 49",10,5,5
"63578409","11. 50 A 54",7,4,3
"63578409","12. 55 A 59",7,5,2
"63578409","13. 60 A 64",3,NA,3
"63578409","14. 65 A 69",3,2,1
"63578409","15. 70 A 74",2,1,1
"63578409","16. 75 A 79",3,2,1
"63578409","17. 80 A 84",2,1,1
"63578409","20. 95 A 99",1,NA,1
