"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63579801","0. __tot__",795,408,387
"63579801","1. 00 A 04",40,17,23
"63579801","2. 05 A 09",73,37,36
"63579801","3. 10 A 14",59,26,33
"63579801","4. 15 A 19",54,27,27
"63579801","5. 20 A 24",61,27,34
"63579801","6. 25 A 29",46,29,17
"63579801","7. 30 A 34",54,31,23
"63579801","8. 35 A 39",65,32,33
"63579801","9. 40 A 44",76,44,32
"63579801","10. 45 A 49",62,33,29
"63579801","11. 50 A 54",47,23,24
"63579801","12. 55 A 59",30,14,16
"63579801","13. 60 A 64",41,23,18
"63579801","14. 65 A 69",34,17,17
"63579801","15. 70 A 74",24,9,15
"63579801","16. 75 A 79",15,10,5
"63579801","17. 80 A 84",8,4,4
"63579801","18. 85 A 89",4,3,1
"63579801","19. 90 A 94",2,2,NA
