"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63578910","0. __tot__",385,202,183
"63578910","1. 00 A 04",25,14,11
"63578910","2. 05 A 09",38,18,20
"63578910","3. 10 A 14",33,17,16
"63578910","4. 15 A 19",35,19,16
"63578910","5. 20 A 24",19,10,9
"63578910","6. 25 A 29",12,8,4
"63578910","7. 30 A 34",7,7,NA
"63578910","8. 35 A 39",30,15,15
"63578910","9. 40 A 44",49,28,21
"63578910","10. 45 A 49",44,20,24
"63578910","11. 50 A 54",40,22,18
"63578910","12. 55 A 59",18,7,11
"63578910","13. 60 A 64",8,1,7
"63578910","14. 65 A 69",11,5,6
"63578910","15. 70 A 74",9,6,3
"63578910","16. 75 A 79",5,4,1
"63578910","17. 80 A 84",2,1,1
