"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63577607","0. __tot__",535,274,261
"63577607","1. 00 A 04",25,13,12
"63577607","2. 05 A 09",42,19,23
"63577607","3. 10 A 14",31,15,16
"63577607","4. 15 A 19",44,23,21
"63577607","5. 20 A 24",29,15,14
"63577607","6. 25 A 29",21,15,6
"63577607","7. 30 A 34",32,15,17
"63577607","8. 35 A 39",48,25,23
"63577607","9. 40 A 44",52,27,25
"63577607","10. 45 A 49",43,19,24
"63577607","11. 50 A 54",29,14,15
"63577607","12. 55 A 59",28,14,14
"63577607","13. 60 A 64",25,13,12
"63577607","14. 65 A 69",41,23,18
"63577607","15. 70 A 74",22,9,13
"63577607","16. 75 A 79",13,8,5
"63577607","17. 80 A 84",5,4,1
"63577607","18. 85 A 89",4,3,1
"63577607","19. 90 A 94",1,NA,1
