"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63577301","0. __tot__",610,301,309
"63577301","1. 00 A 04",68,30,38
"63577301","2. 05 A 09",73,37,36
"63577301","3. 10 A 14",59,29,30
"63577301","4. 15 A 19",49,26,23
"63577301","5. 20 A 24",59,32,27
"63577301","6. 25 A 29",50,25,25
"63577301","7. 30 A 34",33,18,15
"63577301","8. 35 A 39",54,27,27
"63577301","9. 40 A 44",37,19,18
"63577301","10. 45 A 49",30,13,17
"63577301","11. 50 A 54",18,8,10
"63577301","12. 55 A 59",19,7,12
"63577301","13. 60 A 64",17,7,10
"63577301","14. 65 A 69",14,9,5
"63577301","15. 70 A 74",12,5,7
"63577301","16. 75 A 79",12,5,7
"63577301","17. 80 A 84",3,2,1
"63577301","18. 85 A 89",2,1,1
"63577301","20. 95 A 99",1,1,NA
