"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63578412","0. __tot__",138,75,63
"63578412","1. 00 A 04",7,5,2
"63578412","2. 05 A 09",8,6,2
"63578412","3. 10 A 14",8,6,2
"63578412","4. 15 A 19",6,1,5
"63578412","5. 20 A 24",10,4,6
"63578412","6. 25 A 29",10,6,4
"63578412","7. 30 A 34",6,2,4
"63578412","8. 35 A 39",9,5,4
"63578412","9. 40 A 44",8,6,2
"63578412","10. 45 A 49",8,6,2
"63578412","11. 50 A 54",18,6,12
"63578412","12. 55 A 59",8,3,5
"63578412","13. 60 A 64",12,6,6
"63578412","14. 65 A 69",5,2,3
"63578412","15. 70 A 74",7,3,4
"63578412","16. 75 A 79",3,3,NA
"63578412","17. 80 A 84",2,2,NA
"63578412","18. 85 A 89",2,2,NA
"63578412","19. 90 A 94",1,1,NA
