"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63579805","0. __tot__",537,264,273
"63579805","1. 00 A 04",40,19,21
"63579805","2. 05 A 09",56,27,29
"63579805","3. 10 A 14",39,19,20
"63579805","4. 15 A 19",42,19,23
"63579805","5. 20 A 24",38,22,16
"63579805","6. 25 A 29",46,21,25
"63579805","7. 30 A 34",37,14,23
"63579805","8. 35 A 39",35,15,20
"63579805","9. 40 A 44",43,23,20
"63579805","10. 45 A 49",40,17,23
"63579805","11. 50 A 54",28,16,12
"63579805","12. 55 A 59",26,14,12
"63579805","13. 60 A 64",24,12,12
"63579805","14. 65 A 69",15,9,6
"63579805","15. 70 A 74",13,8,5
"63579805","16. 75 A 79",7,4,3
"63579805","17. 80 A 84",4,1,3
"63579805","18. 85 A 89",2,2,NA
"63579805","19. 90 A 94",2,2,NA
