"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63577507","0. __tot__",594,308,286
"63577507","1. 00 A 04",30,20,10
"63577507","2. 05 A 09",51,28,23
"63577507","3. 10 A 14",49,27,22
"63577507","4. 15 A 19",43,19,24
"63577507","5. 20 A 24",28,14,14
"63577507","6. 25 A 29",40,19,21
"63577507","7. 30 A 34",46,27,19
"63577507","8. 35 A 39",51,27,24
"63577507","9. 40 A 44",68,36,32
"63577507","10. 45 A 49",55,21,34
"63577507","11. 50 A 54",31,16,15
"63577507","12. 55 A 59",23,17,6
"63577507","13. 60 A 64",27,11,16
"63577507","14. 65 A 69",14,7,7
"63577507","15. 70 A 74",12,8,4
"63577507","16. 75 A 79",14,6,8
"63577507","17. 80 A 84",5,3,2
"63577507","18. 85 A 89",6,2,4
"63577507","19. 90 A 94",1,NA,1
