"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63578408","0. __tot__",81,34,47
"63578408","1. 00 A 04",5,3,2
"63578408","2. 05 A 09",4,2,2
"63578408","3. 10 A 14",10,5,5
"63578408","4. 15 A 19",5,NA,5
"63578408","5. 20 A 24",4,1,3
"63578408","6. 25 A 29",5,3,2
"63578408","7. 30 A 34",3,2,1
"63578408","8. 35 A 39",6,2,4
"63578408","9. 40 A 44",11,4,7
"63578408","10. 45 A 49",10,5,5
"63578408","11. 50 A 54",8,3,5
"63578408","12. 55 A 59",3,NA,3
"63578408","13. 60 A 64",4,2,2
"63578408","15. 70 A 74",2,1,1
"63578408","16. 75 A 79",1,1,NA
