"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63577709","0. __tot__",153,75,78
"63577709","1. 00 A 04",14,8,6
"63577709","2. 05 A 09",14,7,7
"63577709","3. 10 A 14",19,7,12
"63577709","4. 15 A 19",10,7,3
"63577709","5. 20 A 24",3,2,1
"63577709","6. 25 A 29",5,4,1
"63577709","7. 30 A 34",14,7,7
"63577709","8. 35 A 39",18,8,10
"63577709","9. 40 A 44",22,13,9
"63577709","10. 45 A 49",16,5,11
"63577709","11. 50 A 54",2,1,1
"63577709","12. 55 A 59",2,NA,2
"63577709","13. 60 A 64",7,2,5
"63577709","14. 65 A 69",5,3,2
"63577709","17. 80 A 84",2,1,1
