radio_id,hogares_con_nbi,hogares_sin_nbi,hogares_nbi_hac,hogares_nbi_viv,hogares_nbi_san,hogares_nbi_esc,hogares_nbi_sub,hogares_totales,prop_con_nbi
63570811,11,383,6,4,0,1,0,394,0.027918781725888325
63570812,10,418,3,2,3,1,1,428,0.02336448598130841
63570813,2,238,0,1,1,0,0,240,0.008333333333333333
63570814,6,181,2,3,0,0,1,187,0.03208556149732621
63570901,17,318,8,5,2,2,1,335,0.050746268656716415
63570902,24,308,14,6,0,2,3,332,0.07228915662650602
63570903,25,293,13,12,1,0,1,318,0.07861635220125786
63570904,14,348,5,6,2,0,2,362,0.03867403314917127
63570905,18,398,10,7,0,1,1,416,0.04326923076923077
63570906,26,428,11,8,3,4,2,454,0.05726872246696035
63570907,29,313,11,5,3,7,4,342,0.0847953216374269
63570908,24,309,14,2,4,3,3,333,0.07207207207207207
63570909,23,342,16,2,3,2,1,365,0.06301369863013699
63570910,21,435,6,3,5,5,2,456,0.046052631578947366
63570911,6,304,3,1,0,1,1,310,0.01935483870967742
63570912,18,446,7,7,1,4,0,464,0.03879310344827586
63570913,13,364,6,5,0,1,1,377,0.034482758620689655
63570914,18,209,7,7,2,2,1,227,0.07929515418502203
63571001,2,270,0,2,0,0,0,272,0.007352941176470588
63571002,2,249,0,2,0,0,0,251,0.00796812749003984
63571003,1,370,1,0,0,0,1,371,0.0026954177897574125
63571004,5,149,3,1,0,1,0,154,0.032467532467532464
63571005,46,354,21,11,4,9,7,400,0.115
63571006,6,254,2,2,0,1,1,260,0.023076923076923078
63571007,25,222,19,4,2,5,0,247,0.10121457489878542
63571008,35,372,23,6,5,4,1,407,0.085995085995086
63571009,8,152,3,3,1,1,0,160,0.05
63571010,11,288,3,5,0,2,1,299,0.03678929765886288
63571011,11,312,7,3,3,1,1,323,0.034055727554179564
63571012,7,254,4,3,0,0,0,261,0.02681992337164751
63571013,13,189,4,1,0,4,4,202,0.06435643564356436
63571014,7,200,3,2,1,0,1,207,0.033816425120772944
63571015,9,190,3,5,0,1,0,199,0.04522613065326633
63571016,5,205,4,0,0,1,0,210,0.023809523809523808
63571101,5,191,2,0,0,3,0,196,0.025510204081632654
63571102,19,354,8,10,0,1,1,373,0.05093833780160858
63571103,10,295,5,2,0,3,0,305,0.03278688524590164
63571104,10,267,7,2,2,1,0,277,0.036101083032490974
63571105,27,392,16,5,2,4,2,419,0.06443914081145585
63571106,13,177,8,3,2,1,1,190,0.06842105263157895
63571107,15,301,8,5,0,2,1,316,0.04746835443037975
63571108,7,260,5,2,1,0,0,267,0.026217228464419477
63571109,9,232,3,2,0,3,1,241,0.03734439834024896
63571110,11,281,6,3,0,2,0,292,0.03767123287671233
63571111,13,317,7,5,0,1,1,330,0.03939393939393939
63571112,19,336,10,3,1,5,0,355,0.05352112676056338
63571113,19,148,10,7,3,1,1,167,0.11377245508982035
63571114,54,254,24,22,9,4,3,308,0.17532467532467533
63571115,5,180,2,3,0,0,0,185,0.02702702702702703
63571201,16,223,4,3,1,1,7,239,0.06694560669456066
63571202,19,220,8,7,4,1,0,239,0.0794979079497908
63571203,24,373,13,5,0,4,2,397,0.060453400503778336
63571204,10,351,4,2,2,1,1,361,0.027700831024930747
63571205,5,324,4,1,0,0,0,329,0.015197568389057751
63571206,4,208,1,2,0,1,0,212,0.018867924528301886
63571207,8,261,6,3,0,1,0,269,0.02973977695167286
63571208,24,289,7,17,0,2,0,313,0.07667731629392971
63571209,9,232,4,3,0,2,0,241,0.03734439834024896
63571210,3,166,2,1,0,0,0,169,0.01775147928994083
63571301,8,283,2,3,1,2,0,291,0.027491408934707903
63571302,6,323,1,2,0,2,1,329,0.0182370820668693
63571303,9,453,0,3,1,3,2,462,0.01948051948051948
63571304,9,256,2,7,0,0,0,265,0.033962264150943396
63571305,7,295,3,2,0,2,0,302,0.023178807947019868
63571306,16,424,8,5,0,2,1,440,0.03636363636363636
63571307,20,352,9,6,2,2,2,372,0.053763440860215055
63571308,8,277,2,1,0,5,0,285,0.028070175438596492
63571309,5,210,2,1,1,0,1,215,0.023255813953488372
63571310,3,75,1,2,0,0,0,78,0.038461538461538464
63571401,16,337,6,10,0,0,0,353,0.0453257790368272
63571402,19,405,4,13,0,2,0,424,0.04481132075471698
