radio_id,poblacion_total,mujeres_total,varones_total
63572201,540,275,265.0
63572202,293,167,126.0
63572203,317,175,142.0
63572204,422,229,193.0
63572205,440,251,189.0
63572206,264,145,119.0
63572207,470,279,191.0
63572208,428,256,172.0
63572209,520,310,210.0
63572210,444,258,186.0
63572211,269,150,119.0
63572212,392,229,163.0
63572213,364,217,147.0
63572214,337,202,135.0
63572215,133,70,63.0
63572216,300,194,106.0
63572301,254,145,109.0
63572302,107,58,49.0
63572303,333,191,142.0
63572304,303,177,126.0
63572305,425,242,183.0
63572306,246,133,113.0
63572307,29,15,14.0
63572308,307,189,118.0
63572309,379,218,161.0
63572310,111,65,46.0
63572311,257,146,111.0
63572401,156,99,57.0
63572402,191,109,82.0
63572403,494,262,232.0
63572404,307,170,137.0
63572405,534,299,235.0
63572501,1736,902,834.0
63572502,477,271,206.0
63572503,317,177,140.0
63572601,489,293,196.0
63572602,584,352,232.0
63572603,632,363,269.0
63572604,452,255,197.0
63572701,308,178,130.0
63572702,293,168,125.0
63572703,446,258,188.0
63572704,313,183,130.0
63572705,486,286,200.0
63572801,446,238,208.0
63572802,360,212,148.0
63572803,286,170,116.0
63572804,244,136,108.0
63572805,414,231,183.0
63572806,297,180,117.0
63572901,382,220,162.0
63572902,253,142,111.0
63572903,286,161,125.0
63572904,393,217,176.0
63572905,184,112,72.0
63572906,471,279,192.0
63573001,279,160,119.0
63573002,508,284,224.0
63573003,196,121,75.0
63573004,406,235,171.0
63573005,393,222,171.0
63573006,435,275,160.0
63573007,253,145,108.0
63573008,212,130,82.0
63573009,359,206,153.0
63573010,310,185,125.0
63573011,436,265,171.0
63573101,416,271,145.0
63573102,476,288,188.0
63573103,344,205,139.0
63573104,241,157,84.0
63573105,481,284,197.0
63573106,334,197,137.0
63573107,556,341,215.0
63573108,122,70,52.0
63573109,579,356,223.0
63573110,516,298,218.0
63573201,558,311,247.0
63573202,600,346,254.0
63573203,643,368,275.0
63573204,353,214,139.0
63573205,224,142,82.0
63573206,360,226,134.0
63573207,365,211,154.0
63573208,274,163,111.0
63573209,594,337,257.0
63573210,589,353,236.0
63573211,268,160,108.0
63573212,170,103,67.0
63573301,651,355,296.0
63573302,445,250,195.0
63573303,716,389,327.0
63573304,390,218,172.0
63573305,598,320,278.0
63573306,531,314,217.0
63573307,185,103,82.0
63573308,436,262,174.0
63573309,578,329,249.0
63573310,433,249,184.0
63573311,532,290,242.0
63573312,326,173,153.0
63573313,248,138,110.0
63573314,407,255,152.0
63573315,163,94,69.0
63573401,410,237,173.0
63573402,467,270,197.0
63573403,324,179,145.0
63573404,675,399,276.0
63573405,653,370,283.0
63573406,333,223,110.0
63573407,541,309,232.0
63573408,170,106,64.0
63573501,548,321,227.0
63573502,564,355,209.0
63573503,356,219,137.0
63573504,488,281,207.0
63573505,376,221,155.0
63573506,423,242,181.0
63573507,358,201,157.0
63573508,510,312,198.0
63573509,653,388,265.0
63573510,231,135,96.0
63573511,337,207,130.0
63573512,196,108,88.0
63573601,480,284,196.0
63573602,578,324,254.0
63573603,521,300,221.0
63573604,623,372,251.0
63573605,100,59,41.0
63573701,241,154,87.0
63573702,351,215,136.0
63573703,369,225,144.0
63573704,248,147,101.0
63573705,298,178,120.0
63573706,477,274,203.0
63573707,436,250,186.0
63573708,282,155,127.0
63573709,331,180,151.0
63573801,479,286,193.0
63573802,428,230,198.0
63573803,500,289,211.0
63573804,668,395,273.0
63573901,397,241,156.0
63573902,325,201,124.0
63573903,407,234,173.0
63573904,472,283,189.0
63573905,311,182,129.0
63573906,181,107,74.0
63573907,396,219,177.0
63573908,315,189,126.0
63573909,221,140,81.0
63574001,79,42,37.0
63574002,312,178,134.0
63574003,345,202,143.0
63574004,457,243,214.0
63574005,546,315,231.0
63574006,358,222,136.0
63574007,581,319,262.0
63574008,373,209,164.0
63574101,286,143,143.0
63574102,369,220,149.0
63574103,641,381,260.0
63574104,524,307,217.0
63574105,476,269,207.0
63574106,132,69,63.0
63574107,140,73,67.0
63574108,200,116,84.0
63574201,352,191,161.0
63574202,282,154,128.0
63574203,241,140,101.0
63574204,169,106,63.0
63574205,393,218,175.0
63574206,362,205,157.0
63574207,295,160,135.0
63574301,200,111,89.0
63574302,223,122,101.0
63574303,381,198,183.0
63574304,492,265,227.0
63574305,184,98,86.0
63574306,297,169,128.0
63574307,448,222,226.0
63574308,93,46,47.0
63574309,256,132,124.0
63574310,231,133,98.0
63574311,186,90,96.0
63574312,230,115,115.0
63574401,676,351,325.0
63574402,649,365,284.0
63574403,665,351,314.0
63574404,795,412,383.0
63574405,703,390,313.0
63574406,363,196,167.0
63574407,465,246,219.0
63574408,450,239,211.0
63574409,287,144,143.0
63574501,554,306,248.0
63574502,280,164,116.0
63574503,466,248,218.0
63574504,387,212,175.0
63574505,382,241,141.0
63574506,389,234,155.0
63574507,472,257,215.0
63574508,356,199,157.0
63574509,448,242,206.0
63574510,374,211,163.0
63574511,300,173,127.0
63574512,382,221,161.0
63574601,455,260,195.0
63574602,360,211,149.0
63574603,739,400,339.0
63574604,361,222,139.0
63574605,298,165,133.0
63574606,658,359,299.0
63574607,406,233,173.0
63574608,490,282,208.0
63574609,619,348,271.0
63574610,523,288,235.0
63574611,720,369,351.0
63574612,647,339,308.0
63574613,517,277,240.0
63574614,234,128,106.0
63574701,743,413,330.0
63574702,698,366,332.0
63574703,765,415,350.0
63574704,607,329,278.0
63574705,433,268,165.0
63574706,541,294,247.0
63574707,448,261,187.0
63574708,347,196,151.0
63574709,602,342,260.0
63574710,510,291,219.0
63574711,382,225,157.0
63574712,350,197,153.0
63574713,405,220,185.0
63574801,462,262,200.0
63574802,1014,544,470.0
63574803,830,462,368.0
63574804,352,185,167.0
63574805,371,205,166.0
63574806,460,252,208.0
63574807,602,326,276.0
63574808,472,260,212.0
63574809,419,240,179.0
63574810,487,276,211.0
63574811,704,378,326.0
63574812,464,245,219.0
63574813,499,267,232.0
63574814,615,312,303.0
63574815,536,285,251.0
63574816,466,265,201.0
63574817,334,192,142.0
63574901,647,325,322.0
63574902,793,434,359.0
63574903,562,300,262.0
63574904,476,247,229.0
63574905,647,346,301.0
63574906,694,390,304.0
63574907,670,382,288.0
63574908,692,388,304.0
63575001,780,389,391.0
63575002,685,346,339.0
63575003,777,406,371.0
63575004,895,490,405.0
63575005,980,498,482.0
63575006,940,491,449.0
63575007,372,184,188.0
63575008,1372,690,682.0
63575009,1468,786,682.0
63575010,667,358,309.0
63575011,523,281,242.0
63575012,967,526,441.0
63575013,591,307,284.0
63575014,557,300,257.0
63575015,844,430,414.0
63575101,804,416,388.0
63575102,896,492,404.0
63575103,893,479,414.0
63575104,891,494,397.0
63575105,1030,526,504.0
63575106,1078,523,555.0
63575107,1005,506,499.0
63575108,853,463,390.0
63575109,684,357,327.0
63575110,599,308,291.0
63575201,1716,845,871.0
63575202,1265,653,612.0
63575203,1132,602,530.0
63575204,1181,622,559.0
63575205,876,456,420.0
63575206,666,340,326.0
63575207,1070,534,536.0
63575208,873,452,421.0
63575301,1083,568,515.0
63575302,1113,569,544.0
63575303,1169,597,572.0
63575304,1068,540,528.0
63575305,557,278,279.0
63575306,671,344,327.0
63575307,720,390,330.0
63575308,677,361,316.0
63575309,1096,542,554.0
63575310,886,460,426.0
63575311,737,396,341.0
63575401,790,406,384.0
63575402,930,497,433.0
63575403,989,548,441.0
63575404,1046,555,491.0
63575405,827,428,399.0
63575406,616,323,293.0
63575407,750,378,372.0
63575408,538,278,260.0
63575501,537,299,238.0
63575502,727,382,345.0
63575503,522,287,235.0
63575504,587,303,284.0
63575505,476,250,226.0
63575506,656,355,301.0
63575507,709,343,366.0
63575508,753,407,346.0
63575509,535,301,234.0
63575510,523,291,232.0
63575511,657,351,306.0
63575601,836,422,414.0
63575602,1021,568,453.0
63575603,813,438,375.0
63575604,565,300,265.0
63575605,421,218,203.0
63575606,755,407,348.0
63575607,880,482,398.0
63575608,797,424,373.0
63575609,648,341,307.0
63575610,445,249,196.0
63575611,471,266,205.0
63575612,697,387,310.0
63575613,494,278,216.0
63575614,346,185,161.0
63575615,492,253,239.0
63575701,961,483,478.0
63575702,915,498,417.0
63575703,636,336,300.0
63575704,470,243,227.0
63575705,542,285,257.0
63575706,853,466,387.0
63575707,657,362,295.0
63575708,430,235,195.0
63575709,1083,546,537.0
63575710,511,276,235.0
63575711,712,358,354.0
63575712,448,238,210.0
63575801,566,290,276.0
63575802,915,507,408.0
63575803,531,308,223.0
63575804,797,437,360.0
63575805,890,481,409.0
63575806,871,460,411.0
63575807,833,443,390.0
63575808,521,266,255.0
