"radio_id","hogares_nbi_hac","hogares_nbi_viv","hogares_nbi_san","hogares_nbi_esc","hogares_nbi_sub"
63571814,0,1,0,1,0
63571815,1,1,0,1,0
63571901,3,23,0,0,0
63571902,1,2,0,1,1
63571903,1,2,0,0,0
63571904,1,1,0,0,0
63571905,0,1,0,0,0
63571906,0,7,0,0,0
63571907,0,3,0,1,0
63571908,1,2,0,0,0
63571909,1,0,0,0,0
63571910,0,1,0,0,0
63571911,0,2,0,0,0
63571912,0,0,0,0,0
63571913,0,0,0,0,0
63572001,2,3,0,0,0
63572002,3,0,0,1,0
63572003,1,0,0,0,0
63572004,1,0,0,0,0
63572005,0,3,0,1,0
63572006,1,2,0,0,0
63572007,1,6,1,3,0
63572008,1,0,0,1,0
63572009,0,1,0,1,0
63572101,1,2,0,1,0
63572102,0,0,0,0,0
63572103,0,1,0,0,0
63572104,1,2,0,0,0
63572105,0,16,1,0,0
63572106,0,1,0,0,0
63572107,1,4,0,0,0
63572108,2,3,0,0,0
63572109,0,0,0,0,0
63572110,1,0,0,0,0
63572111,0,0,0,0,0
63572201,0,0,1,1,0
63572202,0,2,0,3,0
63572203,1,1,0,0,0
63572204,3,0,0,9,1
63572205,1,4,0,4,0
63572206,0,0,0,1,0
63572207,0,1,0,1,0
63572208,5,2,0,3,0
63572209,2,4,0,0,0
63572210,2,6,0,3,2
63572211,1,0,0,0,0
63572212,1,0,0,0,0
63572213,2,5,0,2,0
63572214,0,0,0,0,0
63572215,0,1,0,0,0
63572216,2,0,0,0,0
63572301,0,0,0,1,0
63572302,1,0,0,0,0
63572303,2,1,0,0,0
63572304,0,0,0,0,0
63572305,5,0,0,5,0
63572306,1,0,0,0,0
63572307,1,0,0,0,0
63572308,2,0,0,2,1
63572309,2,0,0,2,0
63572310,0,2,0,0,0
63572311,1,0,0,0,1
63572401,0,1,0,0,0
63572402,6,1,0,0,0
63572403,9,2,0,0,1
63572404,3,3,0,2,0
63572405,7,1,0,3,0
63572501,14,20,0,5,7
63572502,1,6,1,1,0
63572503,4,2,1,1,0
63572601,1,3,0,0,0
63572602,5,4,0,4,0
63572603,3,1,0,0,0
63572604,5,2,0,0,0
63572701,0,1,0,0,0
63572702,1,1,0,1,0
63572703,3,2,0,0,1
63572704,2,1,0,1,0
63572705,1,4,0,4,0
63572801,3,1,1,0,0
63572802,0,0,0,1,1
63572803,0,0,0,0,0
63572804,1,1,0,0,0
63572805,0,0,0,0,0
63572806,0,1,0,0,0
63572901,0,0,0,0,0
63572902,1,0,0,2,0
63572903,4,1,0,1,0
63572904,4,1,3,2,0
63572905,0,2,0,1,0
63572906,1,1,0,2,0
63573001,1,1,0,0,0
63573002,2,2,0,0,0
63573003,1,0,0,0,0
63573004,3,1,0,0,0
63573005,0,0,0,0,0
63573006,0,0,0,0,0
63573007,0,1,0,0,0
63573008,0,0,0,0,0
63573009,0,0,0,0,0
63573010,2,1,0,1,0
63573011,5,0,0,0,0
63573101,1,2,0,0,0
63573102,0,0,0,0,0
63573103,1,1,0,0,0
63573104,0,0,0,0,0
63573105,0,0,0,0,0
63573106,1,5,0,0,0
63573107,1,1,0,0,0
63573108,0,0,0,0,0
63573109,11,16,4,1,0
63573110,3,0,0,0,0
63573201,2,2,0,0,0
63573202,1,0,0,1,2
63573203,1,1,0,1,0
63573204,0,1,0,1,0
63573205,0,0,0,0,0
63573206,0,3,0,0,0
63573207,0,0,0,0,0
